id,full_name,url,stars,forks,commit,openIssue,closedIssue
45717250,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,162647,86282,124966,2341,31627
33015583,keras-team/keras,https://api.github.com/repos/keras-team/keras,53882,18986,6448,219,10846
155220641,huggingface/transformers,https://api.github.com/repos/huggingface/transformers,57707,13641,8919,342,8303
46374199,IntelRealSense/librealsense,https://api.github.com/repos/IntelRealSense/librealsense,5728,4085,13759,267,7158
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72662,45437,7752,1130,5638
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,21813,7706,1778,215,4492
274711817,TesseractCoding/NeoAlgo,https://api.github.com/repos/TesseractCoding/NeoAlgo,772,1049,7521,6,3253
27452807,broadinstitute/gatk,https://api.github.com/repos/broadinstitute/gatk,1166,471,4413,1025,3191
401780066,girlscript/winter-of-contributing,https://api.github.com/repos/girlscript/winter-of-contributing,929,1658,10156,1186,2912
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15942,1670,5096,505,2785
81887991,microsoft/AirSim,https://api.github.com/repos/microsoft/AirSim,12670,3587,3350,496,2573
156939672,microsoft/onnxruntime,https://api.github.com/repos/microsoft/onnxruntime,6197,1426,6294,666,2186
133100880,kubeflow/pipelines,https://api.github.com/repos/kubeflow/pipelines,2676,1149,3964,594,2140
70746484,apache/tvm,https://api.github.com/repos/apache/tvm,7664,2376,7515,218,1933
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2900,630,7049,112,1722
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17588,1583,4572,523,1714
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8289,3068,2632,10,1700
42408083,dask/distributed,https://api.github.com/repos/dask/distributed,1295,586,4344,743,1684
99846383,horovod/horovod,https://api.github.com/repos/horovod/horovod,12102,2005,1139,272,1673
48593532,tensorpack/tensorpack,https://api.github.com/repos/tensorpack/tensorpack,6154,1827,2937,12,1332
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24932,6644,1609,3,1311
86031674,wandb/client,https://api.github.com/repos/wandb/client,3688,291,4391,229,1299
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,10571,1120,1571,473,1284
184657328,NVIDIA/TensorRT,https://api.github.com/repos/NVIDIA/TensorRT,4829,1199,253,274,1272
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,10937,1551,2484,249,1244
256170081,Samsung/ONE,https://api.github.com/repos/Samsung/ONE,228,94,6047,269,1229
100249425,fizyr/keras-retinanet,https://api.github.com/repos/fizyr/keras-retinanet,4263,1964,1142,29,1228
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11218,2485,2487,841,1196
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1472,4942,506,1088
35236880,AllenInstitute/AllenSDK,https://api.github.com/repos/AllenInstitute/AllenSDK,248,124,6031,298,1086
145148726,Azure/MachineLearningNotebooks,https://api.github.com/repos/Azure/MachineLearningNotebooks,2838,2056,1167,205,1020
9626741,Nuitka/Nuitka,https://api.github.com/repos/Nuitka/Nuitka,6374,359,8901,176,1012
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3409,1264,7400,390,994
122299416,optuna/optuna,https://api.github.com/repos/optuna/optuna,5898,651,11534,104,944
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3692,477,2340,148,937
80643958,rstudio/keras,https://api.github.com/repos/rstudio/keras,729,264,2568,78,917
90328920,intel-analytics/analytics-zoo,https://api.github.com/repos/intel-analytics/analytics-zoo,2466,712,3421,418,840
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3833,964,16651,297,805
107595270,matterport/Mask_RCNN,https://api.github.com/repos/matterport/Mask_RCNN,21212,10486,203,1711,796
151525500,sql-machine-learning/sqlflow,https://api.github.com/repos/sql-machine-learning/sqlflow,4440,660,2220,245,777
203558879,fetchai/agents-aea,https://api.github.com/repos/fetchai/agents-aea,110,34,11034,41,775
129366435,stellargraph/stellargraph,https://api.github.com/repos/stellargraph/stellargraph,2268,341,2535,252,734
111340129,keras-team/autokeras,https://api.github.com/repos/keras-team/autokeras,8321,1349,1283,68,728
167349656,FederatedAI/FATE,https://api.github.com/repos/FederatedAI/FATE,3912,1156,9841,345,721
114747226,deepfakes/faceswap,https://api.github.com/repos/deepfakes/faceswap,40256,11485,1411,22,709
159249114,tensorflow/addons,https://api.github.com/repos/tensorflow/addons,1438,538,1434,178,702
53220938,TadasBaltrusaitis/OpenFace,https://api.github.com/repos/TadasBaltrusaitis/OpenFace,5456,1672,733,258,669
125098252,onnx/tensorflow-onnx,https://api.github.com/repos/onnx/tensorflow-onnx,1336,308,2646,69,666
108053674,tensorflow/probability,https://api.github.com/repos/tensorflow/probability,3583,963,11280,482,639
24528468,vaexio/vaex,https://api.github.com/repos/vaexio/vaex,6895,535,3420,286,633
85989537,idaholab/raven,https://api.github.com/repos/idaholab/raven,149,85,10681,290,626
138826968,XiaoMi/mace,https://api.github.com/repos/XiaoMi/mace,4564,789,3324,40,612
124910572,mozilla/bugbug,https://api.github.com/repos/mozilla/bugbug,379,233,4461,230,586
74505259,slundberg/shap,https://api.github.com/repos/slundberg/shap,15357,2318,2011,1250,571
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2766,770,9404,74,559
95862535,apple/coremltools,https://api.github.com/repos/apple/coremltools,2537,397,911,313,547
36804486,tqdm/tqdm,https://api.github.com/repos/tqdm/tqdm,21075,1073,1889,270,541
149430917,microsoft/recommenders,https://api.github.com/repos/microsoft/recommenders,12149,2105,7343,118,531
118620583,mozilla/TTS,https://api.github.com/repos/mozilla/TTS,5596,901,2184,16,510
111113343,deepmipt/DeepPavlov,https://api.github.com/repos/deepmipt/DeepPavlov,5581,1003,2611,101,503
40307735,flatironinstitute/CaImAn,https://api.github.com/repos/flatironinstitute/CaImAn,442,294,3858,17,493
169116405,tensorflow/tfx,https://api.github.com/repos/tensorflow/tfx,1691,539,4076,231,488
261059191,airctic/icevision,https://api.github.com/repos/airctic/icevision,567,91,1206,27,485
131881622,NVIDIA/DeepLearningExamples,https://api.github.com/repos/NVIDIA/DeepLearningExamples,7586,2149,1075,118,450
252778465,NVIDIA-Merlin/NVTabular,https://api.github.com/repos/NVIDIA-Merlin/NVTabular,638,98,827,169,434
93728104,NTMC-Community/MatchZoo,https://api.github.com/repos/NTMC-Community/MatchZoo,3591,914,1810,30,429
51863547,ageron/handson-ml,https://api.github.com/repos/ageron/handson-ml,23969,12649,503,117,427
125932201,OlafenwaMoses/ImageAI,https://api.github.com/repos/OlafenwaMoses/ImageAI,6815,1905,292,241,426
68254498,cleverhans-lab/cleverhans,https://api.github.com/repos/cleverhans-lab/cleverhans,5394,1347,3201,21,422
157936206,tensorflow/agents,https://api.github.com/repos/tensorflow/agents,2175,595,2000,106,419
239201565,serengil/deepface,https://api.github.com/repos/serengil/deepface,3140,721,724,1,393
123026206,lappis-unb/tais,https://api.github.com/repos/lappis-unb/tais,84,39,1441,41,387
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,141,217,2729,28,386
169442310,amaiya/ktrain,https://api.github.com/repos/amaiya/ktrain,945,231,2578,3,380
303680708,IEEESFIT1/OpenOctober,https://api.github.com/repos/IEEESFIT1/OpenOctober,27,51,1116,4,379
119894375,kubeflow/examples,https://api.github.com/repos/kubeflow/examples,1111,605,485,1,377
257688216,quic/aimet,https://api.github.com/repos/quic/aimet,838,158,602,108,376
130718031,ROCmSoftwarePlatform/AMDMIGraphX,https://api.github.com/repos/ROCmSoftwarePlatform/AMDMIGraphX,69,29,4234,69,375
152386408,equinor/gordo,https://api.github.com/repos/equinor/gordo,23,19,797,25,375
101409977,STEllAR-GROUP/phylanx,https://api.github.com/repos/STEllAR-GROUP/phylanx,71,38,3657,120,367
5844399,dpinney/omf,https://api.github.com/repos/dpinney/omf,90,58,7182,0,357
79584587,yahoo/TensorFlowOnSpark,https://api.github.com/repos/yahoo/TensorFlowOnSpark,3756,964,629,6,354
86998847,pierluigiferrari/ssd_keras,https://api.github.com/repos/pierluigiferrari/ssd_keras,1777,929,418,20,346
136265021,albumentations-team/albumentations,https://api.github.com/repos/albumentations-team/albumentations,9613,1233,698,221,340
154747577,google-research/bert,https://api.github.com/repos/google-research/bert,30300,8510,111,750,340
166495086,BrikerMan/Kashgari,https://api.github.com/repos/BrikerMan/Kashgari,2250,429,955,37,326
174168383,murthylab/sleap,https://api.github.com/repos/murthylab/sleap,133,28,2881,22,321
100326126,plaidml/plaidml,https://api.github.com/repos/plaidml/plaidml,4327,405,1861,285,301
191126383,allegroai/clearml,https://api.github.com/repos/allegroai/clearml,2973,412,1523,161,294
204388414,bojone/bert4keras,https://api.github.com/repos/bojone/bert4keras,4091,794,1826,125,292
100464123,microsoft/MMdnn,https://api.github.com/repos/microsoft/MMdnn,5503,973,1083,318,289
164554832,ageron/handson-ml2,https://api.github.com/repos/ageron/handson-ml2,19280,9460,900,151,278
215649623,Xilinx/Vitis-AI,https://api.github.com/repos/Xilinx/Vitis-AI,742,432,1160,300,276
372489086,prathimacode-hub/ML-ProjectKart,https://api.github.com/repos/prathimacode-hub/ML-ProjectKart,130,145,2603,41,271
66606388,Azure/batch-shipyard,https://api.github.com/repos/Azure/batch-shipyard,258,113,921,36,269
72132009,ucbrise/clipper,https://api.github.com/repos/ucbrise/clipper,1310,271,305,114,268
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2210,1139,2125,79,266
50881110,aimacode/aima-python,https://api.github.com/repos/aimacode/aima-python,6229,2988,1190,109,264
334167971,ashishsahu1/ML-ProjectYard,https://api.github.com/repos/ashishsahu1/ML-ProjectYard,88,114,844,3,264
147851824,aws-samples/eks-workshop,https://api.github.com/repos/aws-samples/eks-workshop,657,1007,951,107,261
104001805,HealthRex/CDSS,https://api.github.com/repos/HealthRex/CDSS,64,27,2152,84,256
136181543,qubvel/segmentation_models,https://api.github.com/repos/qubvel/segmentation_models,3670,866,204,204,255
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4247,986,2462,5,254
219892487,aws/aws-neuron-sdk,https://api.github.com/repos/aws/aws-neuron-sdk,225,75,702,20,252
80655163,ellisdg/3DUnetCNN,https://api.github.com/repos/ellisdg/3DUnetCNN,1455,613,372,6,252
96467284,kipoi/kipoi,https://api.github.com/repos/kipoi/kipoi,201,38,1088,53,248
65399782,CSTR-Edinburgh/merlin,https://api.github.com/repos/CSTR-Edinburgh/merlin,1205,424,390,199,237
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,3443,135,233
